Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
présentation,CRITÈRES D'INCLUSION,inclu_consent_secprod,"Utilisation future des données pseudonymisées pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future de données pseudonymisées pour la fabrication de tests, de traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.
présentation,CRITÈRES D'INCLUSION,inclu_consent_secgen,"Utilisation future des données génétiques pseudonymisées dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non",Désigne le consentement à l'utilisation secondaire future de données génétiques pseudonymisées dans le cadre de recherches approuvées sur le plan éthique.,Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.
présentation,CRITÈRES D'INCLUSION,inclu_consentsecsamp,"Utilisation secondaire des échantillons prélevés, le participant a accepté les déclarations suivantes :",,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsamprsch,"Utilisation future des échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsampprod,"Utilisation future des échantillons ou des matériaux pseudonymisés ou des données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons ou de matériaux pseudonymisés ou de données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsampgen,"Utilisation future des échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
présentation,CRITÈRES D'INCLUSION,inclu_consentcont,Contact,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_contnstudy,"À contacter pour participer à des travaux futurs, y compris des études de recherche","1, Oui | 0, Non","Désigne la personne à contacter pour participer à des travaux futurs, y compris des études de recherche",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
présentation,APPARITION ET PRÉSENTATION,pres_onsetdate,Date d'apparition du premier symptôme / du symptôme le plus ancien,,Il s'agit de la date d'apparition du premier symptôme ou du symptôme le plus précoce cliniquement lié à l'épisode actuel de la maladie.,"Indiquez la date de l'apparition du premier symptôme que vous estimez cliniquement lié à cet épisode de maladie, au format JJ/MM/AAAA."
présentation,APPARITION ET PRÉSENTATION,pres_symptpres,Symptomatique lors de la présentation initiale ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de savoir si le patient présentait des symptômes lors de la consultation initiale. ,Indiquez « Oui » si le patient présentait des symptômes lors de la consultation initiale.
présentation,APPARITION ET PRÉSENTATION,pres_firstsym,Symptôme(s) pendant les premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent),,"Il s'agit du premier symptôme, ou des premiers symptômes (si plusieurs sont apparus en même temps), que vous estimez cliniquement liés à cet épisode de la maladie.",Sélectionnez tous les symptômes que le patient a présentés au cours des premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent).
présentation,APPARITION ET PRÉSENTATION,pres_consultdate,Date de la première consultation clinique,,Il s'agit de la date de la première consultation clinique liée à l'épisode actuel de la maladie.,Indiquez la date de la première consultation clinique liée à l'épisode actuel de la maladie au format JJ/MM/AAAA.
présentation,APPARITION ET PRÉSENTATION,pres_date,Date de la dernière consultation/admission dans cet établissement,,Il s'agit de la date d'hospitalisation/d'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez la date d'hospitalisation/d'admission dans votre établissement (au format JJ/MM/AAAA).
présentation,APPARITION ET PRÉSENTATION,pres_adm,Admis à l'hôpital,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez « Oui » si ce patient a été admis dans votre établissement.
présentation,APPARITION ET PRÉSENTATION,pres_adm_reas,Motif de l'hospitalisation,,Il s'agit de la raison (indication) de l'hospitalisation.,"Si « Oui », précisez la raison (indication) de l'hospitalisation."
présentation,APPARITION ET PRÉSENTATION,pres_adm_reasoth,Précisez une autre raison,,,
présentation,APPARITION ET PRÉSENTATION,pres_adm_time,Heure d'admission à l'hôpital,,Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Entrez l'heure d'admission dans votre établissement au format 24 heures (00:00 - 24:00 heures).
présentation,APPARITION ET PRÉSENTATION,pres_enrolmentdate,Date d'inscription/début de la collecte des données,,Il s'agit de la date d'inscription/du début de la collecte des données.,Entrez la date d'inscription du patient à l'étude au format jour/mois/année (JJ/MM/AAAA).
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev,Le patient a-t-il déjà été admis ou transféré d'un autre établissement au cours de cet épisode de maladie ?,"1, OUI - admis précédemment dans cet établissement et sorti | 2, OUI - admis dans un autre établissement et sorti | 3, OUI - admis dans un autre établissement, puis transféré dans cet établissement | 0, Non | 99, Inconnu",Il s'agit de l'admission précédente dans un établissement de santé ou du transfert depuis un autre établissement de santé au cours de l'épisode actuel de la maladie.,Sélectionnez l'option la plus appropriée pour indiquer si le patient a déjà été admis ou transféré depuis un autre établissement au cours de cet épisode de maladie.
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_site,Nom de l'établissement de transfert,,Il s'agit du nom de l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez le nom de l'établissement dans lequel le patient a été admis ou transféré précédemment.
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_date,Date de présentation à l'établissement précédent,,Il s'agit de la date de présentation à l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez la date de présentation à l'établissement dans lequel le patient a été admis ou transféré précédemment.
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_reastrans,Raison du transfert,"1, Escalade des soins (p. ex. USI/Ventilation) | 2, Manque d'installations de diagnostic | 3, Proximité du domicile | 88, autre",,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_reastrans_oth,Précisez une autre raison,,,
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prev_num,Nombre total d'admissions précédentes pour cette infection,,Il s'agit du nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.,Indiquez le nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_firstadmdate,Date de la première admission pour cette infection,,"Il s'agit de la date de la première admission pour cette maladie. Si le patient a d'abord été « admis dans un autre établissement, puis transféré vers cet établissement », enregistrez la date à laquelle le patient a été admis dans l'autre établissement de santé.",Inscrivez la date au format JJ/MM/AAAA.
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_difpin,Les données du patient ont-elles déjà été collectées sous un autre numéro d'identification de participant (PIN) ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la collecte antérieure des données du patient sous un autre numéro d'identification du participant (PIN).,Cochez « Oui » si les données du patient ont déjà été collectées sous un autre numéro d'identification du participant (PIN).
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_prevpin,Numéro d'identification de participant précédent (PIN),,Le numéro d'identification du participant ou PIN est un numéro unique utilisé pour identifier les données du patient (participant).,Inscrivez le numéro d'identification du participant (PIN).
présentation,RÉADMISSION ET PIN PRÉCÉDENT,readm_reas,Le patient est-il réadmis avec ou en raison d'une infection par l'agent pathogène d'intérêt ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la réadmission du patient avec ou en raison d'une infection par l'agent pathogène d'intérêt.,Cochez « Oui » si le patient est réadmis avec ou en raison d'une infection par l'agent pathogène d'intérêt.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_birthknow,La date de naissance est-elle connue ?,"1, Oui | 0, Non",Il s'agit de la date calendaire à laquelle le patient est né.,Enregistrez la date de naissance du participant au format JJ/MM/AAAA.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_birthdate,Date de naissance,,Il s'agit de la date calendaire à laquelle le patient est né.,Enregistrez la date de naissance du participant au format JJ/MM/AAAA.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_age,Âge,,Il s'agit de l'âge du patient.,"Pour les participants âgés de plus de deux ans, veuillez indiquer l'âge en années. Pour les enfants âgés de moins d'un an, veuillez indiquer l'âge en mois. Pour les nouveau-nés âgés de moins d'un mois, veuillez indiquer l'âge en jours."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_age_units,Unités d'âge,"1, Années | 2, Mois | 3, Jours",Il s'agit de l'âge du patient lors de sa présentation à l'établissement de santé.,Sélectionnez les unités les plus appropriées pour l'âge.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_calcage_days,Âge calculé (jours),"if([demog_birthknow]='1', datediff([demog_birthdate], if([pres_date]='',""today"",[pres_date]), ""d"", ""dmy""), if([demog_age_units]='1', [demog_age]*365, if([demog_age_units]='2', round([demog_age]*365/12,0), if([demog_age_units]='3', [demog_age], ''))))",Il s'agit de l'âge du patient en jours.,"L'âge est calculé, si la date de naissance est connue, comme la différence entre la date de naissance et la date la plus récente de présentation ou d'admission dans l'établissement."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_sex,Sexe à la naissance,"1, Homme | 2, Femme | 99, Non spécifié/Inconnu | 88, Autre",Il s'agit des caractéristiques sexuelles physiques à la naissance.,Sélectionnez l'option la plus appropriée qui correspond aux caractéristiques physiques sexuelles à la naissance.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_sex_oth,Précisez autre sexe à la naissance,,Il s'agit des caractéristiques sexuelles physiques à la naissance.,"Si « Autre », précisez les caractéristiques physiques sexuelles à la naissance."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_gender,Genre,"1, Homme | 2, Femme | 3, Non binaire | 99, Inconnu | 88, Autre","Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu. ",Sélectionnez l'option la plus appropriée qui correspond à l'identité de genre du patient.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_gender_oth,Précisez autre genre,,"Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu.","Si « Autre », précisez l'identité de genre du patient."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_country,Pays,,Il s'agit du pays d'inscription.,Indiquez le pays d'inscription
présentation,DONNÉES DÉMOGRAPHIQUES,demog_outcountry,Le patient est-il né en dehors du pays déclarant ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la naissance du participant en dehors du pays déclarant.,Indiquez si le participant est né en dehors du pays déclarant
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height,Taille (sélectionner les unités),,Taille réelle ou estimation la plus proche au moment de l'admission.,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_units,Hauteur (certaines unités),"1, cm | 2, dans",,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_cm,Taille (cm),,"Il s'agit de la distance entre la plante des pieds et le sommet du crâne, le corps debout sur une surface plane et complètement étendu, mesurée en centimètres. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en position couchée sur le dos).","Indiquez la taille du patient en centimètres (cm). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_height_in,Taille (en pouces),,"Il s'agit de la distance entre la plante des pieds et le sommet du crâne, le corps debout sur une surface plane et complètement étendu, mesurée en pouces. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en position couchée sur le dos).","Indiquez la taille du patient en pouces (in). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight,Poids (sélectionner les unités),,Poids réel ou estimation la plus proche du poids au moment de l'admission.,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_units,Poids (certaines unités),"1, kg | 2, livres",,
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_kg,Poids (kg),,"Il s'agit du poids d'un sujet, exprimé en kilogrammes (kg).",Indiquez le poids du patient en kilogrammes (kg).
présentation,DONNÉES DÉMOGRAPHIQUES,demog_weight_lb,Poids (lb),,"Il s'agit du poids d'un sujet, exprimé en livres (lb).",Indiquez le poids du patient en livres (lb).
présentation,DONNÉES DÉMOGRAPHIQUES,demog_race,Race (sélectionner toutes les options applicables),,Il s'agit d'une catégorie d'origine géographique ancestrale attribuée à un groupe de population principalement sur la base de caractéristiques physiques considérées comme distinctes et inhérentes.,Sélectionnez toutes les options qui s'appliquent.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare,Employé dans le secteur de la santé,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'un patient qui travaille dans le secteur des soins de santé.,Sélectionnez l'option la plus appropriée.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare_ptfacing,Patient confronté à,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans un environnement en contact avec les patients (c'est-à-dire des rôles qui impliquent une interaction directe avec les patients). ,Sélectionnez l'option la plus appropriée.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_healthcare_expbiosample,Exposé à des échantillons biologiques,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans des environnements non en contact avec les patients, mais qui est exposé à des échantillons biologiques (par exemple, le personnel de laboratoire, les personnes chargées du traitement des déchets médicaux).",Sélectionnez l'option la plus appropriée.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_riskoccupa,Le patient exerce-t-il l'une de ces professions ou une profession liée à son infection ?,,Il s'agit de l'activité principale qu'une personne exerce pour gagner sa vie.,Sélectionnez toutes les options qui s'appliquent.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_occupation,Lieu principal d'exercice de la profession,"1, Télétravail ou sans emploi | 2, À l'intérieur - bureau/santé/éducation/hôtellerie/commerce/domicile | 3, À l'intérieur - usine | 8, À l'extérieur - contact avec des animaux (vétérinaire, éleveur, abattoir) | 4, À l'extérieur - agriculture/sylviculture/pêche | 5, À l'extérieur - construction/industrie/exploitation minière | 6, Forces armées | 7, Étudiant | 99, Inconnu | 88, Autre",Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle. ,Sélectionnez l'option la plus appropriée qui correspond au lieu de travail principal.
présentation,DONNÉES DÉMOGRAPHIQUES,demog_occupation_oth,Préciser autre lieu principal d'exercice de la profession,,Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle.,"Si « Autre », précisez le lieu de travail principal."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_residence,Ville de résidence du patient,"1, Identique à l'établissement de santé | 2, Différent de l'établissement de santé | 99, Inconnu",Il s'agit de la ville dans laquelle une personne habite plus que temporairement ou de manière permanente.,"Si la ville de résidence du patient est différente de la ville dans laquelle se situe cet établissement de santé, Précisez ci-dessous la région de résidence du patient."
présentation,DONNÉES DÉMOGRAPHIQUES,demog_residence_oth,"Si différent de l'établissement de santé, précisez la région de résidence du patient.",,Il s'agit de la ville dans laquelle une personne habite plus que temporairement ou de manière permanente.,"Si « Différent de l'établissement de santé », précisez la région de résidence du patient."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_travel,Le patient a-t-il voyagé hors de sa région d’origine au cours des 14 derniers jours ?,"1, Oui | 0, Non | 99, Inconnu","Cela fait référence à un voyage dans une autre ville ou région, dans une autre partie du pays ou à l'étranger dans un autre pays dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.","Indiquez « Oui » si le patient s'est rendu dans une autre ville ou région, dans une autre partie du pays ou à l'étranger dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_travel_loc,préciser la ou les villes ou villages et la ou les régions de voyage,,Il s'agit de toutes les villes ou villages et régions dans lesquels le patient s'est rendu dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.,"Si le patient s'est éloigné de son lieu de résidence habituel dans les 14 jours précédant l'apparition des symptômes, indiquez le ou les lieux visités."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_riskarea,"Vous voyagez ou vivez dans des zones touchées par une épidémie, rurales ou à haut risque ?","1, oui | 0, Non | 99, Inconnu",,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact,Antécédents de contact avec un cas humain suspecté ou confirmé de maladie/maladie due au même agent pathogène ?,"1, oui | 0, Non | 99, Inconnu","Il s'agit d'un patient ayant des antécédents de contact avec une personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple, fluides corporels, objets, literie, etc.).","Indiquez « Oui » si le patient a des antécédents de contact avec une personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple, des fluides corporels, des objets, de la literie, etc.)."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_setting,Paramétrage des contacts,"1, Ménage | 2, communautaire/social | 3, Établissement de santé | 4, Professionnel/lieu de travail | 5, contact sexuel | 7, Voyage/vol en avion | 8, transmission verticale | 88, autre | 99, Inconnu",,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_setting_oth,Préciser un autre type de contact,,,
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_contact_date,Date de contact avec un cas suspect ou confirmé,,"Il s'agit de la date du contact avec toute personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspecté ou confirmé (par exemple des fluides corporels, des objets, de la literie, etc.).",Entrez la date du contact avec un cas humain suspecté ou confirmé. (Utilisez le format JJ/MM/AAAA)
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon,"Y a-t-il eu un contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours ?","1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez « Oui » si le patient a été en contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_date,Date du contact avec une source animale suspecte ou confirmée,,"Il s'agit de la date du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez la date du contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours, au format JJ/MM/AAAA."
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_lstock,Contact avec du bétail,"1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des oiseaux vivants (par exemple, poulets, dindes, canards) au cours des 14 derniers jours.",Indiquez « Oui » si le patient a été exposé à ce risque au cours des 14 derniers jours.
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_lstock_type,Type de bétail,"1, Volailles/oiseaux | 2, Vaches laitières/équipement | 3, Autres bovins | 4, les porcs","Il s'agit d'un contact avec des oiseaux vivants (par exemple poulets, dindes, canards) survenu au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_lstock_cttype,Précisez le type de contact,"1, Chasse | 2, Préparation | 3, Manipulation | 4, Consommation (non transformé / insuffisamment cuit / cru) | 5, Commerce | 6, Excréments ou nids d'animaux | 7, Animal malade ou mort | 99, Inconnu | 88, Autre","Il s'agit du ou des types de contact avec des animaux au cours des 14 derniers jours. La chasse comprend la découverte ou la mise à mort d'animaux à des fins alimentaires ou sportives. La préparation comprend le dépouillement, le dépeçage ou la découpe d'animaux destinés à la consommation. La manipulation comprend le fait de toucher, de caresser ou de partager l'espace de vie d'animaux. La consommation comprend l'ingestion de parties d'animaux non transformées, insuffisamment cuites ou crues. Le commerce comprend le contact avec des animaux dans le cadre de la vente, de l'achat ou de l'échange d'animaux. Les excréments ou nids d'animaux comprennent le contact avec les excréments, les nids ou les abris d'animaux. Les animaux malades ou morts désignent le contact avec un animal malade ou mort, mais pas la participation à une opération chirurgicale ou à une autopsie sur un animal (question distincte). ",Sélectionnez tous les types de contact avec des animaux qui ont eu lieu au cours des 14 derniers jours.
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_nhprim,Contact avec des primates non humains,"1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des primates non humains (un groupe de mammifères composé de singes  et de grands singes  et de prosimiens, tels que les lémuriens) au cours des 14 derniers jours.",Indiquez « Oui » si le patient a présenté ce symptôme au cours des 14 derniers jours.
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_nhprim_type,Type de primates non humains,"1, Singes | 2, singes",Il s'agit de contacts avec des singes survenus au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.
présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,expo14_ancon_nhprim_cttype,Précisez le type de contact,"1, Chasse | 2, Préparation | 3, Manipulation | 4, Consommation (non transformé / insuffisamment cuit / cru) | 5, Commerce | 6, Excréments ou nids d'animaux | 7, Animaux malades ou morts | 99, Inconnu | 88, Autre","Il s'agit du ou des types de contact avec des animaux survenu au cours des 14 derniers jours. La chasse comprend la découverte ou la mise à mort d'animaux à des fins alimentaires ou sportives. La préparation comprend le dépouillement, le dépeçage ou l'abattage d'animaux à des fins de consommation. La manipulation comprend le fait de toucher, de caresser ou de partager un espace de vie avec des animaux. La consommation comprend l'ingestion de parties d'animaux non transformées, insuffisamment cuites ou crues. Le commerce comprend le contact avec des animaux dans le cadre de la vente, de l'achat ou de l'échange d'animaux. Les excréments ou nids d'animaux comprennent le contact avec les excréments, les nids ou les habitats d'animaux. Les animaux malades ou morts désignent le contact avec un animal malade ou mort, mais pas la participation à une opération chirurgicale ou à une autopsie sur un animal (question distincte). ",Sélectionnez tous les types de contact avec des animaux qui ont eu lieu au cours des 14 derniers jours.
