Paper-like section,Text,Paper-like section_translation,Text_translation
PREGNANCY FORM,"OPTION to complete for Pregnant inividual OR mother of a neonate  , OR neonate if mother is not  included ",FORMULARIO DE EMBARAZO,"OPCIÓN para completar para Persona embarazada O madre de un recién nacido, O recién nacido si la madre no está incluida"
PREGNANCY FORM,Timing /Events: Pregnant individuals – delivery or end of study; Mother of a neonate or neonate (if mother not included) – at presentation,FORMULARIO DE EMBARAZO,Momento/Eventos: Personas embarazadas – parto o fin del estudio; Madre de un recién nacido o de un recién nacido (si no se incluye a la madre) – en el momento de la presentación
NEONATE FORM,OPTION to complete for Neonates OR if neonate not included for mother of the neonate,FORMA NEONATO,OPCIÓN para completar para recién nacidos O si el recién nacido no está incluido para la madre del recién nacido
NEONATE FORM,Timing /Events: Neonate – at presentation; Mother of neonate – at delivery,FORMA NEONATO,Horarios/Eventos: Neonato – en la presentación; Madre del recién nacido – en el momento del parto
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study | Pregnant individuals – delivery or end of study; Mother of a neonate or neonate (if mother not included) – at presentation | Neonate – at presentation; Mother of neonate – at delivery,Horarios/Eventos,Ingreso hospitalario/evaluación inicial | Ingreso a UCI (si corresponde) | Muestra de investigación tomada (opcional) | Según protocolo del sitio (opcional) | Alta / muerte / fin de estudio | Personas embarazadas – parto o fin del estudio; Madre de un recién nacido o de un recién nacido (si no se incluye a la madre) – en la presentación | Recién nacido – en el momento de la presentación; Madre del recién nacido – en el momento del parto
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,ORIENTACIÓN GENERAL,Comuníquese con el Centro de soporte global de ISARIC en data@isaric.org
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",ORIENTACIÓN GENERAL,"El CRF está diseñado para recopilar datos obtenidos mediante exámenes, entrevistas, revisión de notas hospitalarias o extracción de registros médicos electrónicos.  Los datos se pueden recopilar de forma prospectiva o retrospectiva si el paciente se inscribe después de la fecha de presentación en un centro de salud."
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,ORIENTACIÓN GENERAL,Consulte la Guía de finalización del CRF para obtener orientación detallada sobre cómo completar estos formularios.
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",ORIENTACIÓN GENERAL,"Su institución puede capturar datos: <br/>(a) en la base de datos REDCap alojada en ISARIC - comuníquese con ISARIC para obtener acceso, <br/>(b) a una base de datos REDCap alojada en su institución - comuníquese con ISARIC si desea ayuda para configurar esto, o<br/>(c) en una base de datos o sistema de registros médicos electrónicos en su institución - comuníquese con ISARIC para respaldar el mapeo de datos."
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",ORIENTACIÓN GENERAL,"Los números de identificación de participante constan de un código de sitio de 5 dígitos y un número de participante de 4 dígitos. <br/>Obtenga un código de sitio y regístrese en el sistema de gestión de datos comunicándose con ISARIC.  Los números de participante deben asignarse secuencialmente para cada sitio comenzando con 0001 o en bloques, posiblemente incluyendo caracteres alfabéticos, cuando sea útil.  Por ejemplo, el distrito X asignará números desde 0001 o A001 en adelante y el distrito Y asignará números desde 5001 o B001 en adelante."
GENERAL GUIDANCE,"For participants who return for re-admission to the same site, start a new form with a different Participant Identification Number. Please check ""YES-admitted previously to this facility"" in the RE-ADMISSION section. Enter as 2 separate records if you are using a REDCap (or similar) database. ",ORIENTACIÓN GENERAL,"Para los participantes que regresan para su reingreso al mismo sitio, inicie un nuevo formulario con un Número de identificación de participante diferente. Por favor marque ""SÍ, admitido previamente en esta instalación"" en la sección RE-ADMISIÓN. Ingrese como 2 registros separados si está utilizando una base de datos REDCap (o similar)."
GENERAL GUIDANCE,"For participants who transfer between two sites that are both collecting data on this form, it is preferred to have the data entered by a single site as a single admission, under the same Participant Identification Number. When this is not possible, the first site should record ""Transfer to other facility"" as an OUTCOME, and the second site should start a new form with a new patient number and indicate ""YES-… then transferred to this facility"" in the RE-ADMISSION AND PREVIOUS PIN section. ",ORIENTACIÓN GENERAL,"Para los participantes que se transfieren entre dos sitios que recopilan datos en este formulario, se prefiere que los datos ingresados ​​por un solo sitio como una admisión única, bajo el mismo Número de identificación de participante. Cuando esto no sea posible, el primer sitio debe registrar ""Transferencia a otra instalación"" como RESULTADO, y el segundo sitio debe iniciar un nuevo formulario con un nuevo número de paciente e indicar ""SÍ-... luego transferido a esta instalación"" en la sección RE-ADMISIÓN Y PIN ANTERIOR."
GENERAL GUIDANCE,Selections with circles () are single selection (choose one answer only). Selections with square boxes () are multiple selection (choose as many answers as are applicable). Unk = Unknown,ORIENTACIÓN GENERAL,Las selecciones con círculos () son de selección única (elija solo una respuesta). Las selecciones con cuadros cuadrados () son de selección múltiple (elija tantas respuestas como corresponda). Desconocido = Desconocido
